FALSE,9,OBC,"uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;
,RULE6.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[6 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE6.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[6 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE6.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[6 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE6.COUNTER,uint16_t,,rules[6 + offset].counter,NONE,,,,,,,,,,
,RULE6.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[6 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE7.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[7 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE7.SETTINGS.EVENT.LOCAL,uint32_t,,rules[7 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE7.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[7 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[7 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[7 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[7 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE7.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE7.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE7.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE7.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[7 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE7.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[7 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE7.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[7 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE7.COUNTER,uint16_t,,rules[7 + offset].counter,NONE,,,,,,,,,,
,RULE7.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[7 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE8.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[8 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE8.SETTINGS.EVENT.LOCAL,uint32_t,,rules[8 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE8.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[8 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[8 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[8 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[8 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE8.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE8.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE8.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE8.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[8 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE8.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[8 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE8.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[8 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE8.COUNTER,uint16_t,,rules[8 + offset].counter,NONE,,,,,,,,,,
,RULE8.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[8 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE9.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[9 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE9.SETTINGS.EVENT.LOCAL,uint32_t,,rules[9 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE9.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[9 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[9 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[9 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[9 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE9.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE9.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE9.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE9.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[9 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE9.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[9 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE9.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[9 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE9.COUNTER,uint16_t,,rules[9 + offset].counter,NONE,,,,,,,,,,
,RULE9.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[9 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE10.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[10 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE10.SETTINGS.EVENT.LOCAL,uint32_t,,rules[10 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE10.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[10 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[10 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[10 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[10 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE10.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE10.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE10.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE10.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[10 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE10.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[10 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE10.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[10 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE10.COUNTER,uint16_t,,rules[10 + offset].counter,NONE,,,,,,,,,,
,RULE10.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[10 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE11.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[11 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE11.SETTINGS.EVENT.LOCAL,uint32_t,,rules[11 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE11.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[11 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[11 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[11 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[11 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE11.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE11.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
