FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD6_PARAM0,uint8_t,,"BCT_get_param_head(block, 6)[0]",HEX,,,,,,,,,,
,CMD6_PARAM1,uint8_t,,"BCT_get_param_head(block, 6)[1]",HEX,,,,,,,,,,
,CMD6_PARAM2,uint8_t,,"BCT_get_param_head(block, 6)[2]",HEX,,,,,,,,,,
,CMD6_PARAM3,uint8_t,,"BCT_get_param_head(block, 6)[3]",HEX,,,,,,,,,,
,CMD6_PARAM4,uint8_t,,"BCT_get_param_head(block, 6)[4]",HEX,,,,,,,,,,
,CMD6_PARAM5,uint8_t,,"BCT_get_param_head(block, 6)[5]",HEX,,,,,,,,,,
,CMD7_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 7)",HEX,,,,,,,,,,
,CMD7_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 7)",NONE,,,,,,,,,,
,CMD7_PARAM0,uint8_t,,"BCT_get_param_head(block, 7)[0]",HEX,,,,,,,,,,
,CMD7_PARAM1,uint8_t,,"BCT_get_param_head(block, 7)[1]",HEX,,,,,,,,,,
,CMD7_PARAM2,uint8_t,,"BCT_get_param_head(block, 7)[2]",HEX,,,,,,,,,,
,CMD7_PARAM3,uint8_t,,"BCT_get_param_head(block, 7)[3]",HEX,,,,,,,,,,
,CMD7_PARAM4,uint8_t,,"BCT_get_param_head(block, 7)[4]",HEX,,,,,,,,,,
,CMD7_PARAM5,uint8_t,,"BCT_get_param_head(block, 7)[5]",HEX,,,,,,,,,,
,CMD8_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 8)",HEX,,,,,,,,,,
,CMD8_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 8)",NONE,,,,,,,,,,
,CMD8_PARAM0,uint8_t,,"BCT_get_param_head(block, 8)[0]",HEX,,,,,,,,,,
,CMD8_PARAM1,uint8_t,,"BCT_get_param_head(block, 8)[1]",HEX,,,,,,,,,,
,CMD8_PARAM2,uint8_t,,"BCT_get_param_head(block, 8)[2]",HEX,,,,,,,,,,
,CMD8_PARAM3,uint8_t,,"BCT_get_param_head(block, 8)[3]",HEX,,,,,,,,,,
,CMD8_PARAM4,uint8_t,,"BCT_get_param_head(block, 8)[4]",HEX,,,,,,,,,,
,CMD8_PARAM5,uint8_t,,"BCT_get_param_head(block, 8)[5]",HEX,,,,,,,,,,
,CMD9_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 9)",HEX,,,,,,,,,,
,CMD9_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 9)",NONE,,,,,,,,,,
,CMD9_PARAM0,uint8_t,,"BCT_get_param_head(block, 9)[0]",HEX,,,,,,,,,,
,CMD9_PARAM1,uint8_t,,"BCT_get_param_head(block, 9)[1]",HEX,,,,,,,,,,
,CMD9_PARAM2,uint8_t,,"BCT_get_param_head(block, 9)[2]",HEX,,,,,,,,,,
,CMD9_PARAM3,uint8_t,,"BCT_get_param_head(block, 9)[3]",HEX,,,,,,,,,,
,CMD9_PARAM4,uint8_t,,"BCT_get_param_head(block, 9)[4]",HEX,,,,,,,,,,
